VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
can generate excessive load if not managed correctly. Too many messages are received more than once.,1,can help to contact a wide range of people whilst saving time.,1,2,1,3,2,60,10,10,1,1,1,I can save myself and the recipient a lot of time if I consider the person I am sending the message to.,1,2,15,I often get messages from more than one source. I have also had a number of messages that required face to face follow up.,2,1,2, , ,5,6, ,8,9, ,I have received messages containing private information that should have been communicated face to face in order to ensure no misunderstandings. This related to a disciplinary matter.,1,7.7,8.6,4.7,3.7,3.9,7.8,10,7.8,6.6,7.5,9.9,9.7,6,6.2,8.2,7.9,10,7.4,5.2,8.5,1,1,1, ,"Yes it will, I feel that as the need for accountability increases then people will rely more and more on email rather than other means of communication.",3,1,Users need to be more considerate of others before sending a lot of emails.,1,The software can be over complicated often containing a number of features that are not required for day to day email usage.,1,An understanding between colleagues that transcends a simply understanding of what they do as a job. A good working relationship allows colleagues to predict one another's responses to situations and help them avoid unneccessary work.,4, ,7,4,15,2,1,1,I am careful of what I write as I am aware that it may be used against me.,2,1
"the sheer amount received, time wasted searching and sorting through the volume of messages",2,"quick and easy, no cost factor",1,3,1,5,2,120,25,25,2,99,2,receiving email is a part of the modern office,2,2,30,ensuring that the content and layout is correct,4, , , , ,5,6, , , , ,short blunt email in which you feel you have done something wrong but in fact that is not the case,2, ,8,10,9.9,4.7,2.7,10,2.4,6,3.5,1.7,10,10,7.8,8.7,8.8,7.8,7.8,8,6.6,2, ,2, ,yes,1,0,Training,2,no,99,"getting on well with collegues, able to communicate without concern regarding offense being taken",2, ,4,3,1,3,1,1,NO impact,99,0
time wasted on  irrelevant emails,2,"quick communication , ability to attach dcuments etc",1,1,1,1,2,23,5,5,1,2,1,am aware they may be swamped too,1,2,27,esponding to unnecessary requests,2,1, , , ,5,6,7,8,9, ,the biggest by vlume are the non relevant emails copied to all staff<br/>in some cases problems are made worse in wemail where face to face or phone would be better,8,8,9,9,9,8.1,10,9.1,9.2,8,10,7.5,10,10,8,10,6.2,5.8,9.1,10,10,2, , , ,yes,1,0,more use of folders and filters,3,address book system is rather cranky in our college so some regular  contacts come up  on auti complete whereas others remain stubbornly squirreled away!,3,Using appropriate communication for the situation . Email is not suitable for discussing personal or delicate issues in  professional situations    ( Obviously email is important for persoanl or social  communication ),2, ,4,4,16,6,1,2,I am careful to avoid copying emails to staff who do not need them in a given situation,6,1
Can be blanket bombed with irrelevant material.,3,Convenience,1,2,1,4,2,40,10,15,1,2,1,I'm sure their time is as valuable as mine.,1,2,10,"Not relevant to me, which I wont know til I read it.",2, ,2, ,4, ,6, ,8,9, ,constant blanket e mails not relevant to me.,8,5,7.2, ,7.6,1.4,1.4,5.6,8.5,8.9,8.6,6.4,8.4,4.3,9,3.2,2.6,8.2,2.4,9.1,2.9,2, ,2,2,yes,1,0,teach people to target specific recipients rather than group mailing,1,no,99,colleagues you can trust,3, ,4,4,17,5,1,2,"None, all my e mails are are straight requests or replies.",99,0
None,99,"quicker, more secure, traceable.",1,2,1,3,2,30, , ,1,3,2,keep all messages as brief as possible,3,1, , ,99, , , , , ,6,7,8, , ,"Content not relavent to me.<br/>A general email to the whole department, but should be specific to a few",8,3.3,9.6,10,3.4,10,1.6,1.2,2.1,10,7.6,2.1,10,9.8,3,2.3,9.9,1.1,2.1,10,7.4,2, , , ,yes,1,0,don't know,99,speed of log in,3,"friendly,",4, ,4,4,18,5,1,1,none,99,0
Reduces interactions with other human beings. Misinterpretation of the content.<br/>Emails used as a screen for bad news.<br/>Too easy to offload work via email.<br/>,4,Makes difficult to reach people contactable.<br/>Auditable.<br/>Very quick communication over a long distance.,4,2,3,7,2,120,15,60,1,3,1,Sometimes face to face communication is much more appropriate,4,2,5,Reviewing junk emails (I get lots of these).<br/>Dealing with emails and then losing your train of thought on another job.<br/>,1, , , ,4,5,6,7,8, , ,Content I found offensive,4,2,10,8,9, ,9,10,4,7,8, ,10,8,8,10,2,6,4,4,9,2, , , ,"Yes, it is on a J curve",3,2,Good practice dissemination. Don't use email if it is inappropriate. Don't use it to communicate sensitive information.,4,Too open to abuse (mainly marketing and sales which are not classified as spam),4,"Effective communication, trust, fairness, give and take.",2, ,7,2,55,4,1,1,Don't use email for personal communication<br/>,4,1
People change their addresses and don't inform you. People don't always check their emails or fail to respond.,6,It's instant. You have a record of what you said and when you said it.,1,1,3,1,1,30,50,50,2,98,1,you dont want to appear too abrupt,5,1, , ,99, , , , , ,6,7,8, , ,working in a college sometimes i receive an email thast has been sent on mass but has nothing to do with me,8, ,10, , , ,10,1,10, ,10, ,10, ,10, , , , , , ,2, , , ,yes,1,0,no,0,no,99,knowing you can approach someone,5, ,4,3,2,3,2,3,i dont send mass emails or inappropriate emails,8,1
they can be time consuming,2,being able to contact more than one person (group email),1,1,1,1,2,15,12,12,2,50,1, ,99,1, , ,99, , , , , , , ,8,9, ,"with regards to group mails, sometimes I get mail that is not essential for me personally",8,2.5,3.5,4.1,2.4,4,3,3.9,2.9,3.6,2.8,3.5,3.5,2.6,3.8,3.5,2.8,3.2,3.3,4.6,4.4,2, ,2, ,yes,1,0,yes,0,no,99,being in personal contact with eachother also,2, ,4,4,19,2,2,3,appropriate use,6,1
Takes over entire working day as need to respond impacts on ability to engage in other work,2,speed of responses that can be given and received,6,5,1,4,2,180,10,10,1,2,1,to enable me to get on with other work,1,2,5,Other people not following up or losing on emails sent resulting in my searching for originals and re-sending,5, ,2,3, ,5,6,7,8,9, ,"Any emails especially if sent by senior management that has appeared to be rude, agressive or bullying in nature.",3,10,10,10,10,10,3,10,5,10,10, ,10,10,10, , ,10,5,5,4.7,2, , , ,yes,1,0,reduce amount of time allowed to read and respond to email,5,spam filters blocks some external emails and this causes problems as both parties are often left unaware that the email has not been received,5,one that allows for all parties to communicate honestly and effectively regardless of position or status,2, ,16,2,55,5,2,2,the spam filters issue quoted previously,6,1
No guarantee recipient will receive the email.<br/>No guarantee of reply on the same day.<br/>Can be distacting if emails not relevant.,6,"If unable to contact by telephone, recipient can be informed by email.<br/>Can be used as proof if required.<br/>Cost is less than telephone?<br/><br/>",4,4,3,4,1,100, , ,2,98,1,Only send what is relevant and required.,1,1, ,If Email is not relevant.,2, , , , , , ,7,8,9, ,Inapropriate content or bullying (even though i've not received any).  Both issues could lead to either Disciplinary or dissmissal.,3,7.8,4.8,9.1,6.9,9,9,8,9,10,6,5.6,5.7,8.9,8.3,5.2,5.9,8,5.6,9.4,6.7,2, , , ,Yes,1,0,Selecting target audience only and only sending what is relevant.,1,No,99,An understanding of own and other staff roles within an organisation / company.<br/>Being a responsible post holder.<br/>Being conscientious and honest.<br/>Give consideration to staff workloads.<br/>Consideration given to other feelings.,4, ,16,3,99,4,2,1,"Consideration has to be given to email content, the language tone and use.",6,1
Can be time consuming if not set up correctly or done without dicipline,2,Quick,1,2,1,2,2,43,40,40,2,98,1,"I check the wording , spelling and do not use capitalisation unless required by the context of the text",5,2,15,By sometimes wasting time reading mail that is not relevant to the days tasks - not making sufficient use of scanning techniques,2,1, , , , ,6, ,8,9, ,Jokes or chain email that tend to do the rounds in larger organisations,1,4,7.3,5,3.5,8.8,3.7,5.8,4.8,9.3,8.9,6.7,8.9,6.8,8.2,6,5.5,7.6,8.3,9.3,9.5,2, , , ,Yes,1,0,Training in email hygiene and management,2,No,99,Mutual respect and open professional dialogue,6, ,16,2,55,5,2,1,I consider the appropriateness of what I write and how it is phrased I very seldom use work time to send personal emails,4,1
4,4,"Speed.<br/>Easy to use.<br/>Environment friendly.<br/>Can attach supporting documents.<br/>Accessible on multipe devices (computer, mobile, web client).",1,5,1,5,2,178,50,50,1,4,2, ,99,2,30,Responding to far too many trival messages that maybe the sender would not have felt important enough to have come and spoken to you in person over.,2,1, , , ,5,6,7,8,9, ,'Content that is not relevant to you' - this is a concern when it has data protection and/or confidentiality issues/risks.,8,7.3,10,9,10,5.3,7.1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,1, ,yes,1,0,more training on email etiquette,2,no,99, ,99, ,3,2,55,3,1,1, ,99,0
You cannot gage how a person is feeling and often incorrect grammar and punctuation can alter the intended meaning. People approach emails in an informal way so incorrect use of grammar and punctuation is not unusual.,9,It is quick and can reach a far and wide audience.,1, , ,3,2,60, ,15,2,50,1, ,99,1, , ,99, ,2, , ,5,6,7,8,9, , ,99,5.5,5.1,10,5.8,10,6,8,10,10,10,8.8,6.8,7.5,2.1,4.8,10,6.5,10, ,10,2, , , ,yes,1,0,training and expectations communicated,2,no,99,One where there is respect for each other and the professional and personal people they are.,6, ,16,2,55,3,2,3,Confidentiality clause.,1,1
Unable to delete / withdraw once you hit the send button. Need to be very careful before sedning,10,quick and easy to document and communicate,1,4,1, ,2,86,140,140,2,50,1,consider how it will be received,5,2,9,sifting and dealing with spam and junk mail,1, ,2,3,4, ,6,7, ,9, ,multiple posting of mails from the same source blocks up inboxes and causes waste of resources in terms of time to deal with these multiple messages and envrionemntal considerations in sending them,8,1, ,2.2,8.9, , ,5.2, , ,5.1, , ,8.2,7.4, , ,5.6,5.4, ,7.5,2, , , ,yes,1,0,stop spam.,4,attachment sizes can be a problem sometimes,6,"reliable, integrity and assertive are all good traits when considering working realtionships",7, ,1,1,55,5,1,1,none really,99,0
 - Unable to prioritise day (for receipient). Most important email may come in at end of day.<br/> - Over use - lots of copying extraneous people in.<br/> - used to pass off respponsibility - the assumption something will be done just because an email has been sent.<br/> - volume<br/>,1, - tracking communication<br/> - attaching files<br/> - communicate with many at once<br/>,2,5,1,7,2,120,150,150,1,2,1,I try to only send emails that are needed.,1,2,10,Responding to emails not really meant for me. Sending long emails that could be dealt with with a meeting/phone call. Being copied into pointless emails.,2, , , , ,5,6,7,8,9, ,Content that is not relevant to you,8,10,10,10,5,1, , , ,10, ,10,10,10,5, , , , ,10, ,2, , , ,"No - organistations will swicth to similar, but different methods eg IM/Twitter etc",4,9,Organisational culture change.,6,My ability to type quickly (or not!),7,The ability to trust a colleague that you can bounce ideas off them with out worrying about the consequences.,3, ,5,2,55,3,1,1,"I make sure emails I send are for business use, and of a appropriate nature.",6,1
People don't always reply,6,Being able to communicate with anyone at any hour of the day,4,4,1,3,2,8, , ,2,50,2, ,99,1, , ,99,1,2,3,4,5, , ,8, , , ,99,5.5,8.7,8.5,5.2,5,4.6,6.1,4.3,10,3.4,7.2,6,7,6.1,6.7,6.3,7.2,6.5,10,7.3,2, , , ,Yes,1,0, ,0, ,99, ,99, ,5,3,99,3,2,3, ,99,0
